date,equity, pl, pl_pct
2021-07-21,18474.89,-109.29,-0.55
2021-07-22,18373.53,-101.16,-0.51
2021-07-23,18425.28,51.92,0.26
2021-07-27,18269.07,-183.66,-0.92
2021-07-28,18321.1,52.22,0.26
2021-07-29,18296.73,-24.16,-0.12
2021-07-30,18193.42,-103.1,-0.52
2021-07-31,18301.9,108.68,0.54
2021-08-03,18197.46,-104.27,-0.52
2021-08-06,17974.66,-73.63,-0.74
2021-08-07,17933.67,-40.89,-0.41
2021-08-10,17877.54,-56.03,-0.56
2021-08-11,17875.52,-1.9,-0.02
2021-08-12,17895.19,19.78,0.2
2021-08-18,17927.09,13.48,0.13
2021-08-19,17959.41,32.46,0.32
2021-08-20,17874.17,-85.11,-0.85
2021-08-21,17886.08,12.07,0.12
2021-08-24,17796.36,-89.57,-0.9
2021-08-25,17709.78,-86.46,-0.86
2021-08-26,17670.87,-38.79,-0.39
2021-08-27,17730.61,59.88,0.6
2021-08-28,17616.49,-114.05,-1.14
2021-08-31,17597.13,-19.23,-0.19
2021-09-01,17613.26,16.26,0.16
2021-09-02,17491.63,-121.52,-1.22
